descricao,problema
"ramal 87364&nbsp;&nbsp;&nbsp; <br>prezados, favor alterar de fbbate paulo para fbbrae diego <br>","Telefone – Conserto/Remanejamento"
"Solicitamos efetuar reparo em 5 persianas do lado oeste (GEPEM/GERAP) da ala sul.<div>Em todas as persianas faltam o módulo que a gira.</div>","Problema Padrão - GEPIN"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">4.538.698-6</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">IZABELA DANTAS MEIRELES</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens""></span>
            <span id=""sapiens_opc"" style="""">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">Solicitamos acessos ao sistema SAPIENS à funcionária da COGER Izabela Dantas Meireles (4.538.698-6), conforme perfil de 6.393.784-0 (Luiz Antonio Silva).</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Favor abrir O. S. para (estiva):<div>1) recolher caixas de material de expediente que estão desmontadas junto à Gecom;</div><div>2) transferir caixas da Granero que estão na sala das cadeiras quebradas para o corredor onde estão as demais caixas deles, pra evitar que sejam esquecidas.</div>","Problema Padrão - GEPIN"
"Prezados,<div><br></div><div>Favor verificar a regra 22, quanto à aprovação de projetos.</div><div><br></div><div>O projeto 5006 (Comunicação institucional) tem orçamento disponível, porém na tentativa de aprovar o projeto 16.506 a regra impede o usuário. &nbsp;</div>","Sapiens - Manutenção Corretiva"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">3.165.991-8</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">FABRICIO CHASSOT DA SILVA</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Pasta da GEPRO para consulta (plano de trabalho e convênio)</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula"">2.064.919-3</span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">CLAUDIA ROSANE ALVES DE ARAUJO</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Pasta da GEPRO para consulta dos planos de trabalho e convenios digitalizados</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">MATEUS GALASSO</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Não solicitado</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite""></span><br>
            <span id=""sites_opc"" style="""">
                <b>URL desejada: </b><span name=""r_urlSitio"">github</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Desenvolvimento do BTS</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Desenvolvimento do BTS</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Bom dia pessoal, estou tentando acessar o GIThub via ferramenta do próprio site, que antes funcionava no Edficio Number One.<br>Tem como verificar?
Obrigado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Projeto 15.510 - Água Viva<br><br>Parceiro solicita as guias dos impostos pagos conforme informações abaixo:<br>======================================================================================<br>Prezados, boa tarde!<div><br></div><div>Gostaria de solicitar as guias 
de recolhimento de INSS no valor de R$ 732,60 referente as notas fiscais
 nº 452 e 459 da empresa Roterplan - Rovetta Terraplanagem Ltda. CNPJ 
07.822.825/0001-30.</div><div><br></div><div>Desde já agradeço.<br>Atenciosamente,<br clear=""all""></div><font size=""2"" face=""Default Monospace,Courier New,Courier,monospace""><font size=""2"" face=""arial, helvetica, sans-serif"">Marta Belikova Regis<br><br>=================================================================================================<br></font></font>","Impostos/Tributos – Cálculo/Emissão Guias"
"<p class=""MsoNormal"">Prezados, mesmo o ar condicionado sendo central
e de responsabilidade da Administração Predial ele não está funcionando na ala
sul. Com quem devo me comunicar para enviar um pedido à
administração predial para que o ar condicionado seja ligado?</p><p class=""MsoNormal""><o:p></o:p></p>

<p class=""MsoNormal"">Obrigado.<o:p></o:p></p>","Equipamento (exceto informática) - Manutenção"
"Solicito toner para impressora da Secex. Muito obrigada.<br>","Material padronizado – extra"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Impressora não está digitalizando.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br><div><b><br></b></div>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"
            <b style=""font-variant: small-caps; font-size: medium;"">Acesso aos sistemas da Fundação</b><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<br>
            <b>Nome: </b><span name=""r_matricula""></span>&nbsp;&nbsp;&nbsp;<span name=""r_nome"">VICTOR DE MOURA MARTINS</span>&nbsp;<span name=""spAreaUsu"" style=""display: none;""></span><br>
            <b>Lista de sistemas para acesso: </b><br>
            <b>Rede ou outro sistema: </b><br><span name=""r_acessorede"">Solicito acesso às máquinas fbb6301 e fbb6302 para o Consultor da Senior. Visto que os novos ambientes do Sapiens foram configurados nessas máquinas.</span><br>
            <b>Sites na internet: </b> <span name=""r_acessosite"">Não solicitado</span><br>
            <span id=""sites_opc"" style=""display: none;"">
                <b>URL desejada: </b><span name=""r_urlSitio"">Não informada</span><br>
                <b>Justificativa: </b><br><span name=""r_ta_justificativa"">Não informado</span><br>
                <b>Interesse para a Fundação: </b><br><span name=""r_ta_interesse"">Não informado</span><br>
                <b>Orientação para acesso: </b><br><span name=""r_ta_jorientacao"">Não informado</span><br>
            </span>
            <b>SGP: </b><br><span name=""r_sgp"">Não solicitado</span><br>
            <b>Sapiens: </b><br><span name=""r_acessosapiens"">Não solicitado</span>
            <span id=""sapiens_opc"" style=""display: none;"">
                <b>Observações do acesso ao Sapiens: </b><br><span name=""r_sapiens_obs"">- Nenhuma -</span><br>
                <b>Perfil de acesso de acordo com a área/núcleo: </b><span name=""r_areaacessosapiens""></span><br>
                <b>Acesso ao Controle de Aprovação: </b><span name=""r_acessoctrlaprov"">Não solicitado</span><br>
                <b>Observações para Controle de Aprovação: </b><br><span name=""r_acessosapiens_obs"">- Nenhuma -</span>
            </span><br>
            <b>PowerBi: </b><br><span name=""r_bi"">Não solicitado</span><br>
            <b>BBTur (SGV): </b><span name=""r_acessosgv"">Não solicitado</span><br>
            <span id=""r_sgv"" style=""display: none;"">

                <b>Matrícula: </b><span name=""r_matricula_SGV"">-</span><br>
                <b>Nome: </b><span name=""r_nome_SGV"">-</span><br>
                <b>Data de Nascimento: </b><span name=""r_nascimento_SGV"">-</span><br>
                <b>CPF: </b><span name=""r_cpf_SGV"">-</span><br>
                <b>RG: </b><span name=""r_rg_SGV"">-</span>&nbsp;&nbsp;<b>Órgão Expedidor: </b><span name=""r_expedidor_SGV"">-</span>&nbsp;&nbsp;<b>Data de Expedição: </b><span name=""r_dt_expedicao_SGV"">-</span><br>
                <b>Telefone: </b><span name=""r_tel_SGV"">-</span>&nbsp;&nbsp;<b>E-mail: </b><span name=""r_mail_SGV"">-</span><br>
                <b>Cargo: </b><span name=""r_cargo_SGV"">-</span>&nbsp;&nbsp;<b>Centro de Custo: </b><span name=""r_arealotacao_SGV"">-</span><br>

            </span>
            <span id=""r_cpf"" style=""display: none;"">CPF: <span name=""r_cpf"">Não informado</span></span>
        ","Acessos Diversos"
"Prezados, ligar o ar condicionado da ala sul.<div>Obrigado.</div>","Equipamento (exceto informática) - Manutenção"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Criação de projeto superior para acolher projetos ECOFORTE REDES no âmbito do acordo BNDES - FUNDO AMAZÔNIA - CONTRATO 2014 Nº 14.2.0932.1 (VÍNCULO 12).&nbsp;<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Não há projeto superior vinculado ao acordo citado no item 1 na árvore de projetos ASSISTÊNCIA A COMUNIDADES URBANO-RURAIS / PROGRAMA TRABALHO E CIDADANIA / AGROECOLOGIA / ECOFORTE REDES.&nbsp;<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não se aplica.<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Não se aplica.<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Impedimento de aprovação de projetos vinculados ao FUNDO AMAZÔNIA, no âmbito da ação ECOFORTE REDES.<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: 01/08/2017.<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não.<br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Corretiva"
"Solicitamos enviar documento, via malote, para Vigov/BB, prefixo 8468-9, A/C Marília. Edif. BB, Torre 1, 13º andar. O documento foi entregue em mãos ao Rodrigo Vasconcelos.<br>","Serviços externos"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: <font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif""><font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif""><span><font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif""><span><font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif""><u><b>FBB - Relatórios Contábeis Sapiens - Inconsistência</b></u>
 - Observamos que o relatório 276 (Razão Projetos) não está refletindo corretamente a movimentação.<br><br>Até o momento, o problema foi identificado quando extraído o relatório para o tipo de projeto 9, títulos ""GEC"" e VRC"".<br><br>A inconsistência inviabiliza a conciliação dos projetos vinculados a despesas com comunicação. </font></span><span><font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif""><span><font size=""2"" face=""Default Sans Serif,Verdana,Arial,Helvetica,sans-serif"">Pedimos que seja verificada.</font></span><br><br>Encaminhamos,
 em anexo, os relatórios extraídos nos dias 12/07 e 31/07 (base 
maio/2017), para evidenciar as diferenças entre os relatórios.<br></font></span></font></span></font></font><br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: FBB - Relatórios Contábeis Sapiens - Inconsistência - Observamos que o relatório 224 (Extrato de Projetos com Orçamento Mensal) está trazendo errado os valores ""Total Projeto Liberado"" e ""Total Projeto Devolvido"" (quando há devolução).<br><br>A inconsistência inviabiliza a conciliação dos projetos vinculados a despesas administrativas. Pedimos que a mesma seja verificada junto à tecnologia.<br><br>Encaminhamos, em anexo, alguns exemplos de relatórios (base maio/2017), para evidenciar as diferenças entre os relatórios.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Sapiens - Manutenção Evolutiva (Expressa)"
"Reginal, bom dia.<div><br></div><div>&nbsp; &nbsp; &nbsp; &nbsp; O ponto soft dos dias 28 e 31/07/2017 estão faltando marcações que foram registradas e não estão computadas no fechamento. Tentei várias vezes regerar mas não obtivemos sucesso. Aguardamos sua orientação e providências.</div><div><br></div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Simões/Gerap</div>",Funcionalismo
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Verificar Instituições das Tecnologias certificadas no Aplicativo BTS<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Aparece sempre a mesma instituição para todas as TS: Acreditar...<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","BTS - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Visualizar o Portal BTS e Administrar o BTS Lumis para edição de TS.&nbsp;<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Não abre o BTS público nem o Administrador Lumis/BTS<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","BTS - Manutenção Corretiva"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: &nbsp;Acesso a Internet<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Não está acessando<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Página web não disponível<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Acesso<span class=""Apple-tab-span"" style=""white-space:pre"">	</span><br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Monitoramento de notícias<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: Diariamente<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não<br><br><b> Informações Adicionais:  </b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Tomadas abaixo da mesa estão soltas, com quedas e oscilações de energia.<div><br></div>","Equipamento (exceto informática) - Manutenção"
"Solicito as seguintes aquisições para uso do Gerente de Divisão da Gepro:<div>- 01 extensor USB;</div><div>- 01 fone de ouvido;</div><div>- 01 cartucho de tinta HP 664-XL Tri-Color (impressora HP Advantage 3636)</div><div>- 01 cartucho de tinta HP 664-XL Black (impressora HP Advantage 3636)</div>","Material Não Padronizado"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Ligar computador (Dalva da Gecom);<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: Falta de cabo adequado<br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: Não se aplica<br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: Não se aplica<br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: Impossibilidade de trabalhar<br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: URGENTE<br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: Não se aplica<br><br><b> Informações Adicionais: Localização - SUL/Gecom.</b><br>","Equip de Informática - Instalação/Manutenção/Desinstalação"
"Formulário para abertura de demanda de TI (preenchimento obrigatório) <br><br><b>1 - Que operação você está tentando/precisa realizar no sistema? </b><br>   R: Gentileza alterar os banners na home do portal, referente aos novos telefones, MIS e PTS2017. Envio artes por email. O&nbsp; link para a lista dos novos telefones será um .pdf que será enviado pela Gepin.<br><br><b>2 - O que impede a realização desta operação (erro/falta de funcionalidade)? </b><br>   R: <br><br><b>3 - Em caso de erro, anexe tela de evidência com a mensagem apresentada pelo sistema. </b><br>   R: <br><br><b>4 - Em caso de falta de funcionalidade, descreva a necessidade a ser suprida pelo sistema. </b><br>   R: <br><br><b>5 - Qual o impacto de não realizar esta operação? </b><br>   R: <br><br><b>6 - Quando você precisa concluir esta operação? </b><br>   R: <br><br><b>7 - A correção/melhoria implica na necessidade de atualização de normativo? </b><br>   R: <br><br><b> Informações Adicionais:  </b><br>","Portal FBB Conselhos - Manutenção Evolutiva (Expressa)"
